STATE_UT,Men,Women,Average
A&N ISLANDS,90.11,81.84,86.27
ANDHRA PRADESH,73.4,59.5,66.4
ARUNACHAL PRADESH,73.69,59.57,66.95
ASSAM,90.1,81.2,85.9
BIHAR,79.7,60.5,70.9
CHHATTISGARH,85.4,68.7,77.3
CHANDIGARH,90.54,81.38,86.43
DADRA AND NAGAR HAVELI,86.46,65.93,77.65
DAMAN & DIU,91.48,79.59,87.07
DELHI,93.7,82.4,88.7
GOA,92.81,81.84,87.4
GUJARAT,89.5,74.8,82.4
HARYANA,88,71.3,80.4
HIMACHAL PRADESH,92.9,80.5,86.6
JAMMU & KASHMIR,85.7,68,77.3
JHARKHAND,83,64.7,74.3
KARNATAKA,83.4,70.5,77.2
KERALA,97.4,95.2,96.2
LAKSHADWEEP,96.11,88.25,92.28
MADHYA PRADESH,81.2,65.5,73.7
MAHARASHTRA,90.7,78.4,84.8
MANIPUR,86.49,73.17,79.85
MEGHALAYA,77.17,73.78,75.48
MIZORAM,93.72,89.4,91.58
NAGALAND,83.29,76.69,80.11
ODISHA,84,70.3,77.3
PUDUCHERRY,92.12,81.22,86.55
PUNJAB,88.5,78.5,83.7
RAJASTHAN,80.8,57.6,69.7
SIKKIM,87.29,76.43,82.2
TAMIL NADU,87.9,77.9,82.9
TELANGANA,80.5,65.1,72.8
TRIPURA,92.18,83.15,87.75
UTTARAKHAND,94.3,80.7,87.6
UTTAR PRADESH,81.8,63.4,73
WEST BENGAL,84.8,76.1,80.5
ALL-INDIA,84.7,70.3,77.7
